Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse
BISMUT/,bismut/o,F,,,bismuth,bismuth,Bismuth,bismut,висмутъ
BLANK/,blank/a,F,BRO3: blanka,,blanc,white,weiss,biały,бѣлый
BLAT/,blat/o,F,,,"blatte, cafard, cancrelas AK","blackbeetle, cockroach AK",Schabe,karaluch AK,тараканъ
BLEK/,blek/i,F,BRO9: bleki,,"crier (en parlant des animaux), beugler, hennir, .. AK",cry (of beasts),"blöken, wiehern etc.","beczeć, rżeć","мычать, блеять, ржать и т. п"
BLIND/,blind/a,F,BRO7: blinda,,aveugle,blind,blind,ślepy,слѣпой
BLOND/,blond/a,F,BRO7: blonda,,blond,"blond, fair AK",blond,"blond, płowy AK","русый, бѣлокурый"
BLOV/,blov/i,F,BRO6: blovi,,souffler,blow (trans.) AK,"blasen, wehen","dąć, dmuchać",дуть
BLU/,blu/a,F,BRO4: blua,,bleu,blue,blau,niebieski,синій
BO/,bo-,F,BRO1: bo-,,marque la parenté resultant du mariage; ex. patr/ père ― bo/patr/ beau-père,relation by marriage; e. g. patr/in/ mother ― bo/patr/in/ mother-in-law,durch Heirath (eigene oder fremde) erworben; z. B. patr/ Vater ― bo/patr/ Schwiegervater; frat/ Bruder ― bo/frat/ Schwager,nabyty przez małżeństwo (własne lub obce); np. patr/ ojciec ― bo/patr/ teść; frat/ brat ― bo/frat/ szwagier,"пріобрѣтенный бракомъ (своимъ или чужимъ); напр. patr/ отецъ ― bo/patr/ тесть, свекоръ; frat/ братъ ― bo/frat/ шуринъ, зять, деверь"
BO,bo,F +7OA,,"bo. Nomo de la litero b, dua litero de la Esperanta alfabeto.",,,,,
BOA/,boa/o,F,,,boa,boa (serpent) AK,Riesenschlange,boa,"боа, удавъ"
BOAT/,boat/o,F,BRO8: boato,,"bateau, canot","boat, bark",Boot,"bat, łódź","шлюпка, лодка, бот AK"
BOBEN/,boben/o,F,,,bobine,"spool, bobin",Spule,"cewka, szpulka",катушка
BOJ/,boj/i,F,BRO8: boji,,aboyer,bark (dog’s),bellen,szczekać,лаять
BOL/,bol/i,F,BRO6: boli,,bouillir,boil (vb.),sieden,"kipić, wrzeć",кипѣть
BOMBON/,bombon/o,F,BRO8: bombono,,bonbon,"a sweet, bonbon AK","Bonbon, Zuckerwerk AK",cukierek,конфета AK
BON/,bon/a,F,BRO2: bona,,bon,good,gut,dobry,"хорошій, добрый"
BOR/,bor/i,F,BRO8: bori,,percer,bore (vb.),bohren,"wiercić, świdrować",буравить
BORAKS/,boraks/o,F,,,borax,borax,Borax,boraks,бура
BORD/,bord/o,F,BRO4: bordo,,"bord, rivage",shore,Ufer,brzeg,берегъ
BORDER/,border/i,F,,,border,"border, hem AK","säumen, einfassen AK","obrębiać, bramować","окаймлять, подшивать (кайму) AK"
BORS/,bors/o,F,BRO9: borso,,bourse (local) AK,"bourse, exchange",Börse (der Kaufleute),giełda,биржа
BOT/,bot/o,F,BRO7: boto,,botte,boot,Stiefel,but,сапогъ
BOTEL/,botel/o,F,BRO6: botelo,,bouteille,bottle,Flasche,butelka,бутылка
BOV/,bov/o,F,BRO5: bovo,,boeuf,ox,"Ochs, Rind AK",byk,быкъ
BRAK/,brak/o,F,BRO4: brako,,bras,arm,Arm,ramię,рука (от плеча до кисти) AK
BRAM/,bram/o,F,,,brême,bream,Brassen,leszcz,лещъ
BRAN/,bran/o,F,,,son (de grain) AK,bran,Kleie,otręby,отруби
BRANĈ/,branĉ/o,F,BRO6: branĉo,,branche,branch,"Ast, Zweig AK",gałaź,вѣтвь
BRAND/,brand/o,F,BRO9: brando,,eau-de-vie,brandy,Branntwein,wódka,водка
BRANK/,brank/o,F,,,"branchies, ouïes","gill, fish-ear",Kieme,dychawka,жабра
BRASIK/,brasik/o,F,BRO7: brasiko,,chou,cabbage,"Krautkopf, Kohl AK",kapusta,капуста
BRAV/,brav/a,F,BRO8: brava,,"brave, vaillant AK","valiant, brave",tüchtig,"dzielny, chwacki","удалой, бравый AK"
BRET/,bret/o,F,BRO7: breto,,"tablette, étagère, rayon AK","shelf, rack AK","Wandbrett, Regal",półka,полка
BRID/,brid/o,F,BRO9: brido,,bride,bridle,Zaum,uzda,узда
BRIK/,brik/o,F,BRO7: briko,,brique,brick,"Backstein, Ziegelstein AK",cegła,кирпичъ
BRIL/,bril/i,F,BRO4: brili,,briller,shine,glänzen,błyszczeć,блистать
BRILIANT/,briliant/o,F,,,brillant (diamant) AK,"brilliant, gem AK","Brillant (Stein), geschliffener Diamant AK",brylant,бриліантъ
BROD/,brod/i,F,,,broder,embroider AK,sticken,haftować,вышивать
BROG/,brog/i,F,,,échauder,scald,brühen,oparzyć AK,обваривать кипяткомъ
BRONZ/,bronz/o,F,BRO9: bronzo,,bronze,bronze,Bronze,bronz,бронза
BROS/,bros/o,F,BRO6: broso,,brosse,brush,Bürste,szczotka,щетка
BROV/,brov/o,F,BRO8: brovo,,sourcil,eye-brow,Augenbraue,brew,бровь
BRU/,bru/i,F,BRO4: brui,,faire du bruit,noise,"lärmen, brausen","szumieć, hałasować",шумѣть
BRUL/,brul/i,F,BRO3: bruli,,brûler (être en feu),burn (v. n.),brennen (v. n.),palić się,горѣть
BRUL/UM/,brul/um/o,F,,,inflammation,inflammation,Entzündung,zapalenie,воспаленіе
BRUN/,brun/a,F,BRO5: bruna,,brun,brown,braun,brunatny,бурый
BRUST/,brust/o,F,BRO5: brusto,,poitrine,breast,Brust,pierś,грудь
BRUT/,brut/o,F,BRO9: bruto,,"brute, bétail",head of cattle AK,Vieh,bydło,скотъ
BUB/,bub/o,F,BRO8: bubo,,gamin AK,"lad, urchin AK",Bube,"chłopak, ulicznik AK",мальчишка
BUBAL/,bubal/o,F,,,buffle,buffalo AK,Büffel,bawół,буйволъ
BUĈ/,buĉ/i,F,BRO9: buĉi,,"tuer, massacrer, abattre (animaux) AK","slaughter, butcher",schlachten,"zabijać, rzezać",закалывать AK
BUD/,bud/o,F,BRO8: budo,,"boutique, échoppe AK","booth, shop",Bude,buda,балаганъ
BUF/,buf/o,F,,,crapaud,toad,Kröte,ropucha,жаба
BUFED/,bufed/o,F,,,"buffet, restaurant AK",buffet,Buffet,bufet AK,буфетъ
BUK/,buk/o,F,BRO9: buko,,boucle,"buckle, clasp AK",Schnalle,sprzączka,пряжка
BUKED/,buked/o,F,BRO9: bukedo,,bouquet,nosegay,Strauss (Blumen),bukiet,букетъ
BUKL/,bukl/o,F,BRO9: buklo,,bouche (de cheveux) AK,"curl, ringlet AK",Locke,"lok, pukiel",локонъ
BUL/,bul/o,F,BRO7: bulo,,"boule, motte","lump, clod, ball AK",Kloss,"bryla, kluska","ком, комок AK"
BULB/,bulb/o,F,BRO9: bulbo,,"bulbe, oignon AK","bulb, onion AK",Zwiebel,cebula,луковица
BULJON/,buljon/o,F,,,bouillon,broth,Bouillon,buljon,бульонъ
BULK/,bulk/o,F,BRO9: bulko,,petit pain blanc AK,"manchet loaf, roll (bread) AK",Semmel,bułka,булка
BULONJ/,Bulonj/o,F +7OA,,,,,,,
BURD/,burd/o,F,,,bourdon (zool.) AK,"bumble-bee, humble-bee AK",Hummel,trzmiel,шмель
BURĜ/,burĝ/o,F,BRO7: burĝo,,bourgeois,burgher,Bürger (nicht adeliger),mieszczanin,мѣщанинъ
BURĜON/,burĝon/o,F,BRO9: burĝono,,bourgeon,bud,Knospe,pączek,"почка (растения), бутон AK"
BUŜ/,buŝ/o,F,BRO3: buŝo,,bouche,mouth,Mund,usta,ротъ
BUŜ/UM/,buŝ/um/o,F,,,muselière,muzzle AK,Maulkorb,kaganiec,намордникъ
BUŜEL/,buŝel/o,F,,,boisseau,bushel,Scheffel,korzec,"бушель, английская мера сыпучих тел, равная 36,5 литра (прибл. четверик) AK"
BUTER/,buter/o,F,BRO5: butero,,beurre,butter,Butter,masło,масло (коровье)
BUTIK/,butik/o,F,BRO8: butiko,,boutique,small shop AK,"Laden, Krambude",sklep,лавка (торговая)
BUTON/,buton/o,F,BRO6: butono,,bouton,button,Knopf,guzik,пуговица
BUTON/UM/,buton/um/i,F,,,boutonner,button,zuknöpfen,zapinać,застегивать
CED/,ced/i,F,BRO8: cedi,,céder,"yield, give up","abtreten, weichen",ustępować,уступать
CEDR/,cedr/o,F,,,cèdre,cedar,Ceder,cedr,кедръ
CEJAN/,cejan/o,F,,,bluet AK,corn-flower,Kornblume,bławatek,василекъ
CEL/,cel/o,F,BRO4: celo,,viser,aim,zielen,celować,цѣлиться
CEMENT/,cement/o,F,BRO8: cemento,,"ciment, lut","cement, lute","Cement, Kitt","cement, kit",цементъ
CENT,cent,F,BRO1: cent,,cent,hundred,hundert,sto,сто
CENTIM/,centim/o,F +1OA +7OA,,,centime,centime,Centime,centym,центимъ
CENTR/,centr/o,F +1OA +8OA,BRO7: centro,,centre,centre,Zentrum,"centrum, środek",центръ
CERB/,cerb/o,F,BRO8: cerbo,,cerveau,brain,Gehirn,mózg,мозгъ
CERT/,cert/a,F,BRO3: certa,,certain,"certain, sure","sicher, gewiss AK","pewny, znany","вѣрный, извѣстный"
CERT/IG/,cert/ig/i,F,,,assurer,assure,versichern,zapewniać,увѣрять
CERV/,cerv/o,F,BRO9: cervo,,cerf,deer,Hirsch,jeleń,олень
CETER/,ceter/a,F,BRO5: cetera,,autre (le reste),"rest, remainder",übrig,pozostały,прочій
CI,ci,F,,,"tu, toi,",thou,du,ty,ты
CI/A,ci/a,F,,,"ton, ta","thy, thine",dein,twój,твой
CIFER/,cifer/o,F,BRO6: cifero,,chiffre,"a cipher, numerical figure AK",Ziffer,cyfra,цифра
CIFER/PLAT/,cifer/plat/o,F,,,cadran,dial,Zifferblatt,tarcza zegarowa,циферблатъ
CIGAR/,cigar/o,F,BRO9: cigaro,,cigare,cigar,Cigarre,cygaro,сигара
CIGARED/,cigared/o,F,BRO7: cigaredo,,cigarette,cigarette,Cigarette,papieros,папироса
CIGN/,cign/o,F,BRO9: cigno,,cygne,swan,Schwan,łabędź,лебедь
CIKATR/,cikatr/o,F,BRO9: cikatro,,cicatrice AK,"scar, cicatrice",Narbe,blizna,рубецъ
CIKONI/,cikoni/o,F,BRO9: cikonio,,cigogne,stork,Storch,bocian,аистъ
CIKORI/,cikori/o,F,,,chicorée,chicory,Cichorie,cykorya,цикорія
CIM/,cim/o,F,,,punaise,bug,Wanze,pluskwa,клопъ
CIMBAL/,cimbal/o,F,,,cymbale,cymbal,Cymbel,cymbały,кимвалы
CINABR/,cinabr/o,F,,,cinabre,cinnabar,Zinnober,cynober,киноварь
CINAM/,cinam/o,F,BRO9: cinamo,,cannelle,cinnamon,Zimmt,cynamon,корица
CINDR/,cindr/o,F,BRO9: cindro,,cendre,"ash, cinder",Asche,popiół,пепелъ
CIPRES/,cipres/o,F,,,cyprès,cypress,Cypresse,cyprys,кипарисъ
CIR/,cir/o,F,BRO9: ciro,,cirage,shoe-polish,Wichse,szuwaks,вакса
CIRKEL/,cirkel/o,F,BRO9: cirkelo,,compas AK,compasses (geom.) AK,Zirkel (Instrument),cyrkiel,циркуль
CIRKONSTANC/,cirkonstanc/o,F,BRO8: cirkonstanco,,cirkonstance,circumstance,Umstand,okoliczność,обстоятельство
CIRKULER/,cirkuler/o,F,BRO9: cirkulero,,circulaire,circular,Cirkular,okólnik,циркуляръ
CIT/,cit/i,F,BRO8: citi,,citer,"cite, quote, name AK",citiren,"przytaczać, cytować",цитировать
CITR/,citr/o,F,,,cithare,"cithern, zithern AK",Zither,cytra,цитра
CITRON/,citron/o,F,BRO7: citrono,,citron,lemon,Citrone,cytryna,лимонъ
CIVILIZ/,civiliz/i,F,BRO8: civilizi,,civiliser AK,civilize AK,"zivilisieren, aufklären AK",cywilizować AK,просвѣщать
CO,co,F +7OA,,"co. Nomo de la litero c, tria litero de la Esperanta alfabeto.",,,,,
COL/,col/o,F,,,pouce (mesure) AK,inch,Zoll (Mass),cal,дюймъ
ĈAGREN/,ĉagren/i,F,BRO8: ĉagreni,,chagriner,"vex, annoy AK",verdriessen,martwić,"причинять досаду, огорчать AK"
ĈAM/,ĉam/o,F,,,chamois,wild goat,Gemse,"dzika koza, giemza",серна
ĈAMBELAN/,ĉambelan/o,F,,,chambellan,chamberlain,Kammerherr,szambelan,камергеръ
ĈAMBR/,ĉambr/o,F,BRO2: ĉambro,,chambre,"room, chamber AK",Zimmer,pokój,комната
ĈAMPAN/,ĉampan/o,F,,,champagne (vin de),champagne,Champagner,szampan,шампанское
ĈAN/,ĉan/o,F,,,chien de fusil,cock (of a gun) AK,Hahn (am Schiessgewehre),kurek (przy fuzji) AK,курокъ
ĈAP/,ĉap/o,F,BRO7: ĉapo,,bonnet,"cap, bonnet AK",Mütze,czapka,шапка
ĈAPEL/,ĉapel/o,F,BRO4: ĉapelo,,chapeau,hat,Hut,kapelusz,шляпа
ĈAPITR/,ĉapitr/o,F,BRO6: ĉapitro,,chapitre,chapter,Kapitel,rozdział,глава (книги)
ĈAR,ĉar,F,BRO1: ĉar,,"car, parce que","for, since, because AK","weil, denn, da","albowiem, ponieważ","ибо, такъ какъ"
ĈARLATAN/,ĉarlatan/o,F,,,charlatan,charlatan,Charlatan,szalbierz,"шарлатан, мошенник AK"
ĈARM/,ĉarm/a,F,BRO7: ĉarma,,charmant,charm,anmuthig,"uroczy, miły AK","милый, очаровательный AK"
ĈARNIR/,ĉarnir/o,F,,,"charnière, gond AK",hinge AK,Charnier,szarnier AK,шарниръ
ĈARPENT/,ĉarpent/i,F,,,charpenter,do carpenter’s work,zimmern,ciosać,плотничать
ĈARPENT/IST/,ĉarpent/ist/o,F,,,charpentier,carpenter,Zimmermann,cieśla,плотникъ
ĈARPI/,ĉarpi/o,F,,,charpie,lint for a wound,Charpie,skubanka,корпія
ĈAS/,ĉas/i,F,BRO6: ĉasi,,chasser (vénerie),hunt,"jagen, Jagd machen",polować,охотиться
ĈAS/AĴ/,ĉas/aĵ/o,F,,,gibier,"game, venison",Wild,zwierzyna,дичь
ĈAST/,ĉast/a,F,,,chaste,chaste,"züchtig, keusch","niepokalany, czysty",цѣломудренный
ĈE,ĉe,F,BRO1: ĉe,,"chez, à, en présence de AK",at,"bei, zu AK","u, przy","у, при"
ĈEF/,ĉef-,F,BRO1: ĉef-,,principal,"chief (adj.), head AK","Haupt, Chef","szef, główny","глава, главный"
ĈEF/EPISKOP/,ĉef/episkop/o,F,,,archevêque,archbishop,Erzbischof,arcybiskup,архіепископъ
ĈEL/,ĉel/o,F,BRO9: ĉelo,,ceilule,cell,Zelle,"cela, komórka","ячея, ячейка, келья"
ĈEMIZ/,ĉemiz/o,F,BRO6: ĉemizo,,chemise,shirt,Hemd,koszula,сорочка
ĈEN/,ĉen/o,F,BRO8: ĉeno,,chaine,chain,Kette,łańcuch,цѣпь
ĈERIZ/,ĉeriz/o,F,BRO8: ĉerizo,,cerise,cherry,Kirsche,wiśnia,вишня
ĈERK/,ĉerk/o,F,BRO9: ĉerko,,cercueil,coffin,Sarg,trumna,гробъ
ĈERP/,ĉerp/i,F,BRO8: ĉerpi,,puiser,"draw (water, etc.) AK",schöpfen (z. B. Wasser),czerpać,черпать
ĈES/,ĉes/i,F,BRO5: ĉesi,,cesser (intr.) AK,"cease, desist",aufhören,przestać AK,переставать
ĈEVAL/,ĉeval/o,F,BRO3: ĉevalo,,cheval,horse,Pferd,koń,конь
ĈI,ĉi,F,BRO1: ĉi,,ce qui est le plus près; ex. tiu celui-là ― tiu ĉi celui-ci,denotes proximity; e. g. tiu that ― tiu ĉi this; tie there ― tie ĉi here,die nächste Hinweisung; z. B. tiu jener ― tiu ĉi dieser; tie dort ― tie ĉi hier,określenie najbliższe; np. tiu tamten ― tiu ĉi ten; tie tam ― tie ĉi tu,ближайшее указаніе; напр. tiu тотъ― tiu ĉi этотъ; tie тамъ ― tie ĉi здѣсь
ĈIA,ĉia,F,BRO1: ĉia,,chaque,"every, every kind of AK","jedweder, jeglicher",wszelaki,"всякій, всяческій"
ĈIAL,ĉial,F +7OA,BRO9: ĉial,"ĉial. El ĉia kaŭzo, motivo.",,,,,
ĈIAM,ĉiam,F,BRO1: ĉiam,,toujours,always,immer,zawsze,всегда
ĈIE,ĉie,F,BRO1: ĉie,,partout,everywhere,überall,wszędzie,повсюду
ĈIEL/,ĉiel/o,F,BRO3: ĉielo,,ciel,"sky, heaven AK",Himmel,niebo,небо
ĈIEL,ĉiel,F,BRO6: ĉiel,,de chaque (toute) manière,in every manner,auf jede Weise,wszelkim sposobem,всячески
ĈIEL/ARK/,ĉiel/ark/o,F,,,arc-en-ciel,rainbow AK,Regenbogen,tęcza,радуга
ĈIEL/IR/,ĉiel/ir/o,F,,,Ascension,Ascension,Himmelfahrt Christi,Wniebowstąpienie,Вознесеніе Господне
ĈIES,ĉies,F +7OA,BRO9: ĉies,,,,,,
,,,,,,,,,
ĉies. Apartenanta al ĉiu.,,,,,,,,,
,,,,,,,,,
ĈIF/,ĉif/i,F,BRO9: ĉifi,,"froisser, chiffonner","crumple, tumble AK","zerknittern, zerknüllen",miętosić,мять
ĈIFON/,ĉifon/o,F,BRO7: ĉifono,,chiffon,rag,"Lappen, Lumpen","szmata, łachman AK",лоскутъ
ĈIKAN/,ĉikan/i,F,,,chicaner AK,"cavil at, gossip mischievously AK",schikanieren AK,rozsiewac plotki,сплетничать
ĈIO,ĉio,F,BRO1: ĉio,,tout,everything,alles,wszystko,все
ĈIOM,ĉiom,F +7OA,BRO9: ĉiom,,,,,,
,,,,,,,,,
ĉiom. Tutkvante.,,,,,,,,,
,,,,,,,,,
ĈIRKAŬ,ĉirkaŭ,F,BRO1: ĉirkaŭ,,"autour de, environ","about, around","um, herum, gegen","około, dokoła","около, кругомъ"
ĈIRKAŬ/AĴ/,ĉirkaŭ/aĵ/o,F,,,alentours,environs,Umgegend,okolica,окрестность
ĈIRKAŬ/I,ĉirkaŭ/i,F,,,entourer,"encircle, environ",umgeben,otaczać,окружать
ĈIRKAŬ/MAN/,ĉirkaŭ/man/o,F,,,bracelet,bracelet,Armband,bransoletka,браслетъ
ĈIRKAŬ/O,ĉirkaŭ/o,F,,,"circuit, enceinte",circumference,"Umfang, Umkreis",obwód,окружность
ĈIRKAŬ/PREN/,ĉirkaŭ/pren/i,F,,,embrasser,embrace,umarmen,"obejmować, ściskać",обнимать
ĈIRKAŬ/SKRIB/,ĉirkaŭ/skrib/i,F,,,circonscrire,circumscribe,umschreibcn,opisywać,описывать
ĈIU,ĉiu,F,BRO1: ĉiu,,chacun,"each, every one","jeder, jedermann AK","wszystek, każdy","всякій, каждый"
ĈIU/J,ĉiu/j,F,,,tous,all,alle,wszyscy,всѣ
ĈIZ/,ĉiz/i,F,,,creuser avec le ciseau,"carve, chisel AK","meisseln, ziselieren AK",dłutem obrabiać AK,долбить
ĈJ/,-ĉj-,F,BRO9: -ĉj-,,après les 1-5 premières lettres d’un prénom masculin lui donne un caractère diminutif et caressant; ex. Miĥael/ ― Mi/ĉj/,affectionate diminutive of masculine names; e.g. Johan/ John ― Jo/ĉj/ Johnnie,den 1-5 Buchstaben eines männlichen Eigennamens beigefügt verwandelt diesen in ein Kosewort; z. B. Miĥael/ ― Mi/ĉj/; Aleksandr/ ― Ale/ĉj/,dodane do pierwszych 1-5 liter imenia własnego męzkiego rodzaju zmienia je w pieszczotliwe; np. Miĥael/ ― Mi/ĉj/; Aleksandr/ ― Ale/ĉj/,"приставленное къ первымъ 1-5 буквамъ имени собственнаго мужскаго пола, превращаетъ его въ ласкательное; напр. Miĥael/ ― Mi/ĉj/; Aleksandr/ ― Ale/ĉj/"
ĈO,ĉo,F +7OA,,"ĉo. Nomo de la litero ĉ, kvara litero de la Esperanta alfabeto.",,,,,
ĈOKOLAD/,ĉokolad/o,F,BRO7: ĉokolado,,chocolat,chocolate,Chocolade,czekolada,шоколадъ
ĈU,ĉu,F,BRO1: ĉu,,"est-ce que, si (inter. ind.) AK",whether,ob,czy,"ли, развѣ"
DA,da,F,BRO1: da,,"de (après les mots marquant mesure, poids, nombre)","is used instead of de after words expressing weight or measure; e. g. funt/o da viand/o a pound of meat, glas/o da te/o a cup of tea","(nach Mass, Gewicht u. drgl. bezeichnenden Wörtern); z. B. kilogram/o da viand/o ein Kilogramm Fleisch; glas/o da te/o ein Glass Thee AK","zastępuje przypadek drugi (po słowach oznaczających miarę, wagę i. t. p.); np. kilogram/o da viand/o kilogram mięsa; glas/o da te/o szklanka herbaty","(послѣ словъ, означающихъ мѣру, вѣсъ и т. д.) замѣняетъ родительный падежъ; напр. kilogram/o da viand/o килограмъ мяса; glas/o da te/o стаканъ чаю"
DAKTIL/,daktil/o,F,BRO9: daktilo,,datte,date (fruit),Dattel,daktyl,финикъ
DAM/,dam/o,F,,,,,,,
DAM/O/J,dam/o/j,F,,,jeu de dames,draughts,Damenspiel,warcaby,шашки (игра)
DAMASK/,damask/o,F,,,damas,damask,Damast,adamaszek,камка (камчатный) AK
DANC/,danc/i,F,BRO6: danci,,danser,dance,tanzen,tańczyć,танцовать
DAND/,dand/o,F,BRO9: dando,,petit-maître,dandy,Stutzer,"fircyk, elegant",франтъ
DANĜER/,danĝer/o,F,BRO5: danĝero,,danger,danger,Gefahr,niebezpieczeństwo,опасность
DANK/,dank/i,F,BRO3: danki,,remercier,thank,danken,dziękować,благодарить
DAT/,dat/o,F,BRO7: dato,,date,date,Datum,data,число (мѣсяца)
DATIV/,dativ/o,F,,,datif,dative,Dativ,celownik,дательный падежъ
DATUR/,datur/o,F,,,datura,"thorn-apple, datura AK",Stechapfel,"bieluń, dziędzierzava",дурманъ
DAŬR/,daŭr/o,F,BRO4: daŭro,,"durer, continuer AK",last (intr.) AK,dauern,trwać,продолжаться
DAŬR/IG/,daŭr/ig/i,F,BRO7: daŭrigi,,continuer,continue,fortsetzen,dalej ciągnąć,продолжать
DE,de,F,BRO1: de,,de,"of, from","von, von...an, seit; kennzeichnet auch den Genitiv AK",od; zastępuje też dopełniacz,от; образует также родительный падеж AK
DE/FLU/IL/,de/flu/il/o,F,,,"rigole, égout, cannelure","gutter, channel",Rinne,rynna,водостокъ
DE/LOG/,de/log/i,F,,,séduire,seduce,verführen,uwieść AK,обольщать
DE/PAG/,de/pag/o,F,,,impôt,duty,"Abgabe, Zoll AK",podatek,"подать, пошлина"
DE/PEND/,de/pend/i,F,BRO8: dependi,,dépendre,"depend, hang from AK",abhängen,zaleźeć,зависѣть
DE/TEN/,de/ten/i,F,BRO9: deteni,,retenir,"abstain from, restrain AK","enthalten, abhalten",zatrzymywać,удерживать
DE/VEN/,de/ven/i,F,,,descendre,"be derived from, originate from AK",abstammen,pochodzić,происходить
DEC/,dec/i,F,BRO9: deci,,"être convenable, convenir, être séant AK","be fitting, proper AK","(sich) gebühren, sich schicken AK",być przyzwoitym AK,надлежать
DECEMBR/,Decembr/o,F,BRO5: Decembro,,Décembre,December,December,Grudzień,Декабрь
DECID/,decid/i,F,BRO5: decidi,,décider,decide,"entscheiden, beschliessen",rozstrzygać,рѣшать
DEĈIFR/,deĉifr/i,F,,,déchiffrer,decipher,entziffern,"odczytać, odcyfrować AK",дешифрировать
DEDIĈ/,dediĉ/i,F,BRO8: dediĉi,,"vouer, dédier",dedicate,widmen,"poświęcać, dedykować",посвящать
DEFEND/,defend/i,F,BRO6: defendi,,défendre,defend,vertheidigen,bronić,защищать
