Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse,Hispane,Itale,Katalune,Portugale
ANĈOV/,anĉov/o,1OA,,,anchois,anchovy,Anchovis,serdela,анчоусъ,,,,
ANEKDOT/,anekdot/o,1OA,BRO9: anekdoto,,anecdote,anecdote,Anekdote,anegdota,анекдотъ,,,,
ANEKS/,aneks/i,2OA,,,,,,,,,,,
ANEMON/,anemon/o,2OA,,,,,,,,,,,
ANGELIK/,angelik/o,2OA,,,angélique (bot.),garden angelica,Engelwurz,,,,,,
ANGIL/,angil/o,F,BRO9: angilo,,anguille,eel,Aal,węgorz,угорь (животное),,,,
ANGIN/,angin/o,1OA,,,angine,quinsy,"Angina, Bräune",angina,ангина,,,,
ANGL/,angl/o,F +7OA,,,,,,,,,,,
ANGOR/,angor/o,6OA,,"angor/o 1-e: Malsaneca sento de sufoko kun korpremateco; 2-e: Sento de sufoko, kaŭzata de timego, maltrankvileco.",angoisse,anguish,"(Quälende, Herzens-, Todes-) Angst","duszność, tęsknota (noto)",,angustia,angoscia,,
ANGUL/,angul/o,F,BRO4: angulo,,"angle, coin  AK","corner, angle","Winkel, Ecke  AK",kąt,уголъ,,,,
ANĜEL/,anĝel/o,F,BRO8: anĝelo,,ange,angel,Engel,anioł,ангелъ,,,,
ANILIN/,anilin/o,4OA,,,aniline,aniline,Anilin,,,anilina,anilina,anilina,anilina
ANIM/,anim/o,F,BRO5: animo,,âme,soul,Seele,dusza,душа,,,,
ANIMAL/,animal/o,8OA,BRO8: animalo,"animal/o. Komuna vorto por bestoj kaj homoj, opone al vegetaloj kaj mineraloj.",animal,animal (as opposed to vegetable or mineral),Lebewesen,,,animal,animale,,animal
ANIZ/,aniz/o,F,,,anis,anise (arom. plant)  AK,Anis,anyż,анисъ,,,,
ANKAŬ,ankaŭ,F,BRO1: ankaŭ,,"aussi, encore  AK",also,auch,także,также,,,,
ANKORAŬ,ankoraŭ,F,BRO1: ankoraŭ,,"encore, jusqu’à présent  AK","yet, still",noch,jeszcze,еще,,,,
ANKR/,ankr/o,F,,,ancre,anchor,Anker,kotwica,якорь,,,,
ANN/,Ann/o,F +7OA,,,,,,,,,,,
ANOMALI/,anomali/o,2OA,,,,,,,,,,,
ANONC/,anonc/i,F,BRO6: anonci,,faire une annonce  AK,"announce, advertize  AK","anzeigen, ankündigen  AK",ogłaszać,объявлять,,,,
ANONIM/,anonim/a,1OA,,,anonyme,anonymous,anonym,anonimowy,анонимный,,,,
ANSER/,anser/o,F,BRO9: ansero,,oie,goose,Gans,gęś,гусь,,,,
ANSTATAŬ,anstataŭ,F,BRO1: anstataŭ,,au lieu de,instead,"anstatt, statt",zamiast,вмѣсто,,,,
ANSTATAŬ/I,anstataŭ/i,F,,,remplacer,replace,ersetzen,zastępować,замѣнять,,,,
ANT/,-ant-,F,BRO1: -ant-,,marque le participe présent actif,ending of pres. part. act. in verbs,bezeichnet das Participium pres. act.,oznacza imiesłów czynny czasu teraźniejszego,означаетъ причастіе настоящаго времени дѣйст. залога,,,,
ANTARKT/,Antarkt/o,9OA,,Antarkt/o. La regiono kaj kontinento ĉirkaŭ la suda poluso. Antarkt/a. Rilata al Antarkto; tia kiel (en) Antarkto: la Antarkta Cirklo; Antarkta klimato; Antarkta glacio.,,,,,,,,,
ANTAŬ,antaŭ,F,BRO1: antaŭ,,"devant, avant  AK",before,vor,przed,предъ,,,,
ANTAŬ/TUK/,antaŭ/tuk/o,F,,,"tablier, devantier",apron,Schürze,fartuch,передникъ,,,,
ANTAŬ/URB/,antaŭ/urb/o,F,,,faubourg,suburb,Vorstadt,przedmieście,предмѣстье,,,,
ANTEN/,anten/o,1OA,,,antenne,antenna,Fühlhorn,macka,щупальце,,,,
ANTIBIOTIK/,antibiotik/o,9OA,,"antibiotik/o. Organika substanco produktata de mikroboj aŭ ĥemie sintezata, kiu povas malhelpi plimultiĝon de bakterioj kaj aliaj mikroboj, kaj eĉ ilin mortigi: penicilino estas vaste uzata antibiotiko; multajn infektajn malsanojn oni kuracas per antibiotiko.",,,,,,,,,
ANTICIP/,anticip/i,3OA,,,anticiper,to anticipate,"vorausnehmen, voraustun, vorausgreifen, anticipieren",,,anticipar,anticipare,,antecipar
ANTIKV/,antikv/a,F,,,"antique, ancien  AK","ancient, antique  AK","alt, altethümlich",starożytny,древній,,,,
ANTILOP/,antilop/o,1OA,,,antilope,antelope,Antilope,antylopa,антилопа,,,,
ANTIMON/,antimon/o,F,,,antimoine,antimony,Antimon,antymon,сурьма,,,,
ANTIPATI/,antipati/o,1OA,,,antipathie,antipathy,Abneigung,antypatja,антипатія,,,,
ANTIPOD/,antipod/o,1OA,,,antipode,antipodes,Antipode,antypod,антиподъ,,,,
ANTITEZ/,antitez/o,2OA,,,,,,,,,,,
ANTOLOGI/,antologi/o,2OA,,,,,,,,,,,
ANTON/,Anton/o,F +7OA,,,,,,,,,,,
ANTROPOLOG/,antropolog/o,7OA,,antropolog/o. Antropologiisto.,,,,,,,,,
ANTROPOLOGI/,antropologi/o,1OA,,,anthropologie,anthropology,Anthropologie,antropologja,антропологія,,,,
ANUNCIACI/,anunciaci/o,F,,,Annonciation de la Vierge,Annunciation,Verkündigung Mariä,Zwiastowanie,Благовѣщеніе,,,,
ANUS/,anus/o,9OA,,"anus/o. Malfermaĵo, kiu troviĝas ĉe la fino de la nutrokanalo, kaj tra kiu eliras la fekaĵoj (komunuze nomata postaĵotruo).",,,,,,,,,
AORT/,aort/o,2OA,,,,,,,,,,,
APARAT/,aparat/o,1OA,BRO7: aparato,,appareil,apparatus,Apparat,aparat,аппаратъ,,,,
APART/,apart/a,F,BRO4: aparta,,"particulier, séparé, spécial  AK","separate, special  AK","besonder, abgesondert",osobny,особый,,,,
APARTAMENT/,apartament/o,3OA,BRO8: apartamento,,appartement,apartments,Appartement,apartament,,apartamiento,appartamento,,aposento
APARTEN/,aparten/i,F,BRO6: aparteni,,appartenir,belong,gehören,należeć (do kogo)  AK,принадлежать,,,,
APATI/,apati/o,1OA,,,apathie,apathy,Apathie,apatja,апатія,,,,
APELACI/,apelaci/i,3OA,,,en appeler,"legal appeal, appellation",appellieren,apelować (noto),,apelar,appellarsene,,appelar
APENAŬ,apenaŭ,F,BRO1: apenaŭ,,à peine,scarcely,kaum,ledwie,едва,,,,
APER/,aper/i,F,BRO4: aperi,,"paraître, apparaître",appear,erscheinen,zjawiać się,являться,,,,
APERITIV/,aperitiv/o,9OA,,"aperitiv/o. Trinkaĵo, ordinare alkohola, trinkata (kiel apetitvekilo) antaŭ manĝo.",,,,,,,,,
APERTUR/,apertur/o,6OA,BRO9: aperturo,apertur/o. Malfermaĵo.,ouverture,aperture,"Oeffnung (z. B. Loch, Spalte u. ä.)",apertura,,abertura (noto),apertura,,
APETIT/,apetit/o,1OA,BRO8: apetito,,appétit,appetite,Appetit,apetyt,апетитъ,,,,
API/,api/o,2OA,,,ache,smallage,Eppich,,,,,,
APLAŬD/,aplaŭd/i,F,BRO9: aplaŭdi,,applaudir,applaud,Beifall spenden  AK,oklaskiwać,"хлопать в ладоши, аплодировать  AK",,,,
APLIK/,aplik/i,3OA,BRO9: apliki,,appliquer,to apply,anwenden,zastosować (noto),,aplicar,applicare,,applicar
APLOMB/,aplomb/o,6OA,,aplomb/o. Tre granda memfido.,aplomb,"self-assurance, imperturbability","Selbstbewusstsein, -sicherheit (im Auftreten)",aplomb,,aplomo (serenidad),disinvoltura,,
APOG/,apog/i,F,BRO6: apogi,,appuyer,"lean upon, support (trans.)  AK","anlehnen, stützen  AK",opierać (o co)  AK,опирать,,,,
APOGE/,apoge/o,1OA,,,apogée (astr.),apogee,"Apogäum, Erdferne","apogeum, szczyt",апогей,,,,
APOKRIF/,apokrif/a,1OA,,,apocryphe,apocryphal,apokryphisch,apokryf,апокрифъ,,,,
APOLOG/,apolog/o,1OA,,,apologue,apologue,Apolog,apolog,апологъ,,,,
APOPLEKSI/,apopleksi/o,1OA,,,apoplexie,apoplexy,Schlagfluss,apopleksja,апоплексія,,,,
APOSTOL/,apostol/o,1OA,BRO9: apostolo,,apôtre,apostle,Apostel,apostoł,апостолъ,,,,
APOSTROF/,apostrof/o,2OA,,,,,,,,,,,
APOTEK/,apotek/o,1OA,BRO8: apoteko,,pharmacie,drug-store,Apotheke,apteka,аптека,,,,
APOTEOZ/,apoteoz/i,2OA,,,,,,,,,,,
APOZICI/ (gram.),apozici/o,2OA,,,,,,,,,,,
APR/,apr/o,F,BRO9: apro,,sanglier,wild boar,Eber,dzik  AK,"кабан, вепрь  AK",,,,
APRIL/,April/o,F,BRO5: Aprilo,,Avril,April,April,Kwiecień,Апрѣль,,,,
APROB/,aprob/i,F,BRO6: aprobi,,approuver,approve,"billigen, gut heissen",aprobować,одобрять,,,,
APUD,apud,F,BRO1: apud,,auprès de,near by,"neben, an, bei  AK","przy, obok","возле, подле, около  AK",,,,
AR/,-ar-,F,BRO1: -aro,,une réunion de certains objets; ex. arb/ arbre ― arb/ar/ forêt,a collection of objects; e. g. vort/ word ― vort/ar/ dictionary,"Sammlung gewisser Gegenstände; z. B. arb/ Baum ― arb/ar/ Wald; ŝtup/ Stufe ― ŝtup/ar/ Treppe, Leiter","oznacza zbiór danych przedmiotów; np. arb/ drzewo ― arb/ar/ las; ŝtup/ szczebel, stopień ― ŝtup/ar/ drabina, schody","собраніе данныхь предметовъ; напр. arb/ дерево ― arb/ar/ лѣсъ, ŝtup/ ступень ― ŝtup/ar/ лѣстница",,,,
ARAB/,arab/o,8OA,,,,,,,,,,,
ARABESK/ (arĥ.),arabesk/o,2OA,,,,,,,,,,,
ARANE/,arane/o,F,BRO8: araneo,,araignée,spider,Spinne,pająk,паукъ,,,,
ARANĜ/,aranĝ/i,F,BRO5: aranĝi,,arranger,arrange,einrichten,urządzać,устроивать,,,,
ARB/,arb/o,F,BRO3: arbo,,arbre,tree,Baum,drzewo,дерево,,,,
ARB/ET/AĴ/,arb/et/aĵ/o,F,,,"arbrisseau, buisson","shrub, bush",Strauch,krzak,кустъ,,,,
ARBALEST/,arbalest/o,2OA,,,arbalète,crossbow,Armbrust,,,,,,
ARBITR/,arbitr/a,F,BRO9: arbitra,,arbitraire,arbitrary,willkürlich,samowolny,произвольный,,,,
ARBITRACI/,arbitraci/o,3OA,,,arbitrage,arbitration,"Schiedspruch, Arbitrage",arbitracja,,arbitraje,arbitrato,,arbitragem
ARBUST/,arbust/o,6OA,,"arbust/o. (Botaniko) Arbo, kies trunko estas ligneca ĉe la bazo, kaj herbeca ĉe la supro. 
 (noto)",arbuste,shrub,Strauch,krzak,,mata,arbusto,,
ARĈ/,arĉ/o,F,,,archet,"bow (Violin, etc.)  AK",Fiedelbogen  AK,smyczek,смычекъ,,,,
ARD/,ard/a,3OA,BRO8: arda,,être ardent,"to be ardent, to glow",glühen,pałać (noto),,arder,essere ardente,,arder
ARDE/,arde/o,F,,,héron,heron,Reiher,czapla,цапля,,,,
ARDEZ/,ardez/o,F,,,ardoise,slate (substance)  AK,Schiefer,łupek,аспидъ (минералъ),,,,
ARE/,are/o,9OA,,"are/o 1 Mezuro de surfaco: ŝi mezuris la areon de la kampo; la areo de la ĉambro estas 20 kvadrataj metroj; tiu lando havas areon de pli ol cent mil kvadrataj kilometroj. 2 Parto de surfaco; tereno: tie estas parka areo, kie oni povas promeni; kulturata areo.",,,,,,,,,
AREN/,aren/o,F,,,arène,arena  AK,"Arena, Rennbahn",arena,"арена, ристалище",,,,
AREOMETR/,areometr/o,1OA,,,aréomètre,areometer,Aräometer,areometr,ареометръ,,,,
AREST/,arest/i,F,,,arrêter,arrest,verhaften,aresztować,арестовать,,,,
ARGIL/,argil/o,F,,,argile,clay,Thon,glina,глина,,,,
ARGUMENT/,argument/o,F,,,argumenter,argue,"argumentieren, beweisen, Schlüsse ziehen  AK",dowodzić,доказывать,,,,
ARĜENT/,arĝent/o,F,BRO5: arĝento,,argent (métal),silver,Silber,srebro,серебро,,,,
ARĤAIK/,arĥaik/a,3OA,,,archaïque,archaic,altertümlich,,,arcaico,arcaico,,archaico
ARĤAISM/,arĥaism/o,F +7OA,,arĥaism/o. Vorto aŭ esprimo ne plu uzata en la komuna lingvo.,,,,,,,,,
ARĤEOLOG/,arĥeolog/o,3OA,,,archéologue,archæologist,"Archäolog, Altertumsforscher",archeolog,,arqueólogo (noto),archeologo,,archeologo
ARĤEOLOGI/,arĥeologi/o,3OA,,,archéologie,archæology,"Archäologie, Altertumskunde",archeologja,,arqueología (noto),archeologia,,archeologia
ARĤIPELAG/,arĥipelag/o,3OA,,,archipel,arcipelago,Archipel,archipelag,,archipielago,arcipelago,,archipelago
ARĤITEKT/,arĥitekt/o,3OA,,,architecte,architect,Architekt,architekt,,arquitecto,architetto,,architecto
ARĤITEKTUR/,arĥitektur/o,F,,,architecture,architecture,Architectur,architektura,архитектура,,,,
ARĤIV/,arĥiv/o,3OA,,,archives,archiv,Archiv,archivum,,archivo (noto),archivie,,archive
ARI/,ari/o,1OA,,,air (mus.),air,Arie,arja,арія,,,,
ARISTOKRAT/,aristokrat/o,1OA,,,aristocrate,aristocrat,Aristokrat,arystokrata,аристократъ,,,,
ARISTOKRATI/,aristokrati/o,8OA,,aristokrati/o. Reĝimo en kiu la politika povo apartenas al la aristokrataro.,aristocratie,aristocracy (form of government),"Aristokratie, Adelsherrschaft",,,aristocracia,aristocrazia,,aristocracia
ARITMETIK/,aritmetik/o,1OA,,,arithmétique,arithmetic,Arithmetik,arytmetyka,ариѳметика,,,,
ARK/,ark/o,F,BRO8: arko,,arc,"arch, bow",Bogen,łuk,дуга,,,,
ARK/AĴ/,ark/aĵ/o,F,,,voûte,vault,Gewölbe,sklepiente,сводъ,,,,
ARKAD/,arkad/o,1OA,,,arcade,arcade,Arkade,arkada,аркада,,,,
ARKAIK/,arkaik/a,3OA,,,archaïque,archaic,altertümlich,,,arcaico,arcaico,,archaico
ARKAISM/,arkaism/o,8OA,,arkaism/o. Moderna formo de: arĥaismo.,archaïsme,"archaism, obsolete word",Archaismus,,,arcaísmo,arcaismo,,arcaísmo
ARKEOLOG/,arkeolog/o,3OA,,,archéologue,archæologist,"Archäolog, Altertumsforscher",archeolog,,arqueólogo (noto),archeologo,,archeologo
ARKEOLOGI/,arkeologi/o,3OA,,,archéologie,archæology,"Archäologie, Altertumskunde",archeologja,,arqueología (noto),archeologia,,archeologia
ARKIPELAG/,arkipelag/o,3OA,,,archipel,arcipelago,Archipel,archipelag,,archipielago,arcipelago,,archipelago
ARKITEKT/,arkitekt/o,3OA,,,architecte,architect,Architekt,architekt,,arquitecto,architetto,,architecto
ARKITEKTUR/,arkitektur/o,8OA,,arkitektur/o. Moderna formo de: arĥitekturo.,architecture,architecture,Architektur,,,arquitectura,architettura,,arquitetura
ARKIV/,arkiv/o,3OA,,,archives,archiv,Archiv,archivum,,archivo (noto),archivie,,archive
ARKT/,Arkt/o,9OA,,Arkt/o. La regiono ĉirkaŭ la norda poluso. Arkt/a. Rilata al Arkto; tia kiel (en) Arkto: la Arkta Oceano; la Arkta Cirklo; Arkta klimato.,,,,,,,,,
ARLEKEN/,arleken/o,F,,,arlequin,harlequin,Hanswurst,"błazen, arlekin","арлекинъ, шутъ",,,,
ARM/,"armo, arm/i",F,,,armer,to arm  AK,rüsten,uzbrajać,вооружать  AK,,,,
ARME/,arme/o,1OA,BRO7: armeo,,armée,army,Armee,armja,армія,,,,
ARMEN/,armen/o,8OA,,,,,,,,,,,
ARNIK/,arnik/o,2OA,,,,,,,,,,,
AROGANT/,arogant/a,F,,,arrogant,arrogant,"anmassend, hochmüthig",zarozumiały,"наглый, нахальный  AK",,,,
AROM/,arom/o,1OA,,,arome,aroma,Aroma,"aromat, woń",ароматъ,,,,
ARPEĜ/,arpeĝ/o,1OA,,,arpège,arpeggio,Arpeggio,arpeggio,арпеджіо,,,,
ARSENIK/,arsenik/o,F,,,arsenic,arsenic,Arsenik,arszenik,мышьякъ,,,,
ART/,art/o,F,BRO3: arto,,art,art,Kunst,"sztuka, kunszt",искусство,,,,
ARTERI/,arteri/o,2OA,BRO9: arterio,,,,,,,,,,
ARTIFIK/,artifik/o,F,,,"artifice, subterfuge  AK",artifice,"List, Kniff  AK","fortel, sztuka  AK",уловка,,,,
ARTIK/,artik/o,F,BRO9: artiko,,articulation,joint,Gelenk,staw (anat.)  AK,суставъ,,,,
ARTIKOL/,artikol/o,F,BRO7: artikolo,,"article (litt., gram.)  AK",article,Artikel,artykuł,"статья, членъ",,,,
ARTILERI/,artileri/o,1OA,,,artillerie,artillery,Artillerie,artylerja,артиллерія,,,,
ARTIŜOK/,artiŝok/o,F,,,artichaut,artichoke,Artischoke,karczoch,артишокъ,,,,
ARTRIT/,artrit/o,F,,,goutte,gout,Gicht,artretyzm,подагра  AK,,,,
-AS,-as,F,BRO1: -as,,marque le présent d’un verbe,ending of the present tense in verbs,bezeichnet das Präsens,oznacza czas teraźniejszy,означаетъ настоящее время глагола,,,,
AS/,as/o,F,,,as,ace,Ass (Kartsp.),as,тузъ,,,,
ASBEST/,asbest/o,9OA,,"asbest/o. Mola griza fibra minerala substanco, el kiu oni povas fari teksaĵon izolantan kontraŭ varmego kaj fajro.",,,,,,,,,
ASEKUR/,asekur/i,F,BRO8: asekuri,,assurer (par contrat)  AK,insure,versichern  AK,asekurować,страховать,,,,
ASEMBLE/,asemble/o,8OA,BRO9: asembleo,"asemble/o. Interkonsiliĝa aŭ leĝodona instanco aŭ organo de iu organizaĵo, kontraste al la ekzekutiva responda instanco.",assemblée,assembly,Versammlung,,,asamblea,assemblea,,assembléia
ASERT/,asert/i,1OA,BRO9: aserti,,"assurer, affirmer",assert,"versichern, behaupten",twierdzić,утверждать,,,,
ASESOR/,asesor/o,1OA,,,assesseur,assessor,Assessor,asesor,ассесоръ,,,,
ASFALT/,asfalt/o,1OA,BRO9: asfalto,,asphalte,asphalt,Asphalt,asfalt,асфальтъ,,,,
ASIGN/,asign/i,F,,,assigner,assign,anweissen,"asygnować, przekazać",ассигновать,,,,
ASIMIL/ (trans.),asimil/i,2OA,,,,,,,,,,,
ASIST/,asist/i,8OA,BRO9: asisti,"asist/i. Pro devo aŭ profesio helpi en fake difinita maniero: ""asisti kirurgon ĉe operacio""; ""sociala asistantino en fabriko"".","assister, servir d’assistant","to assist (officially), to be in attendance (as experts or advisers), to support, to take part in","beistehen, assistieren",,,"asistir, servir de asistente","assistere, essere assistente",,"assistir, auxiliar"
ASOCI/,asoci/o,1OA,BRO8: asocio,,association,association,Association,stowarzyszenie,ассоціація,,,,
ASONANC/,asonanc/o,2OA,,,,,,,,,,,
ASPARAG/,asparag/o,F,,,asperge,asparagus,Spargel,szparag,спаржа,,,,
ASPEKT/,aspekt/i,1OA,BRO7: aspekti,,aspect,aspect,"Anblick, Aussehen",wygląd,наружность,,,,
ASPERG/,asperg/i,2OA,,,asperger,to sprinkle,besprengen,,,,,,
ASPID/,aspid/o,F,,,aspic,"asp, adder",Natter,żmija,аспидъ (змѣй),,,,
ASPIR/,aspir/i,3OA,,,"aspirer à, tendre à",to aspire,streben nach,aspirować (noto),,aspirar,"aspirare a, agognare",,aspirar
ASPIRIN/,aspirin/o,9OA,,"aspirin/o. Medikamento uzata precipe kontraŭ doloro, febro kaj inflamo, konsistanta el substanco kun la ĥemia formulo CH3-CO-O-C6H4-COOH.",,,,,,,,,
ASTM/,astm/o,1OA,,,asthme,asthma,"Asthma, Atemnot",astma,астма,,,,
ASTR/,astr/o,1OA,,,astre,"planet, star, heavenly body",Gestirn,ciało niebieskie,небесное свѣтило,,,,
ASTROLOG/,astrolog/o,1OA,,,astrologue,astrologer,Astrolog,astrolog,астрологъ,,,,
ASTROLOGI/,astrologi/o,1OA,,,astrologie,astrology,Astrologie,astrologja,астрологія,,,,
ASTRONOM/,astronom/o,1OA,,,astronome,astronomer,Astronom,astronom,астрономъ,,,,
ASTRONOMI/,astronomi/o,1OA,,,astronomie,astronomy,Astronomie,astronomja,астрономія,,,,
AT/,-at-,F,BRO1: -at-,,marque le participe présent passif,ending of pres. part. pass. in verbs,bezeichnet das Participium praes. passivi,oznacza imiesłów bierny czasu teraźniejszego,означаеть причастіе настоящаго времени страдат. залога,,,,
ATAK/,atak/i,F,BRO6: ataki,,attaquer,attack,angreifen,"napadać, atakować",нападать,,,,
ATAVISM/,atavism/o,2OA,,,,,,,,,,,
ATEISM/,ateism/o,2OA,,,,,,,,,,,
ATEIST/,ateist/o,3OA,,,athée,atheist,Atheist,,,ateo,ateista,,ateo
ATENC/,atenc/i,F,,,attenter,"make an attempt against, assault  AK",einen Anschlag (Attentat) machen,robić zamach,покушаться,,,,
ATEND/,atend/i,F,BRO3: atendi,,attendre,"wait, expect","warten, erwarten",czekać,"ждать, ожидать",,,,
ATENT/,atent/a,F,BRO4: atenta,,attentif,attentive,aufmerksam,uważny,внимательный,,,,
ATEST/,atest/i,F,BRO8: atesti,,témoigner,"attest, testify (certify)  AK","zeugen, bezeugen, bescheinigen",świadczyć,свидѣтельствовать,,,,
ATING/,ating/i,F,BRO5: atingi,,atteindre,"attain, reach","erlangen, erreichen",dosięgać,достигать,,,,
ATLANTIK/,Atlantik/o,8OA,BRO9: Atlantiko,Atlantik/o. La oceano inter Eŭropo kaj Ameriko.,l’Atlantique,Atlantic,"Atlantik, Atlantischer Ozean",,,Atlántico,Atlantico,,Atlântico
ATLAS/,atlas/o,2OA,,,satin,satin,"Atlasköper (Stoff, Seide)",,,,,,
ATLAS/,atlas/o,8OA,,"atlas/o. Libroforma kolekto de mapoj, desegnaĵoj, bildoj, fotoj ktp. pri aparta temo: ""geografia, historia, anatomia, moda atlaso"".",atlas,atlas,"Atlas, Kartensammlung",,,atlas,atlante,,atlas
ATLET/,atlet/o,1OA,,,athlète,athlete,Athlet,atleta,атлетъ,,,,
ATMOSFER/,atmosfer/o,1OA,,,atmosphère,atmosphere,Atmosphäre,atmosfera,атмосфера,,,,
ATOM/,atom/o,1OA,BRO9: atomo,,atome,atom,Atom,atom,атомъ,,,,
ATRIBU/,atribu/i,1OA,,,attribuer,attribute,zuschreiben,przypisywać,приписывать,,,,
ATRIBUT/,atribut/o,3OA,,,attribut (signe distinctif),attribute,Attribut,atrybut,,atributo,attributo,,atributo
ATRIPL/,atripl/o,F,,,arroche (bot.)  AK,orach (bot.)  AK,Gänsefuss (Pflanze)  AK,łoboda,лебеда,,,,
ATUT/,atut/o,F,,,atout,a trump (cards)  AK,Trumpf,kozera,козырь,,,,
AŬ,aŭ,F,BRO1: aŭ,,ou,or,oder,"albo, lub",или,,,,
AŬD/,aŭd/i,F,BRO3: aŭdi,,entendre,hear,hören,słyszeć,слышать,,,,
AŬDAC/,aŭdac/a,8OA,BRO9: aŭdaca,aŭdac/a. Riskema fari ion malgraŭ la danĝeroj aŭ malhelpoj.,audacieux,"audacious, bold, daring","kühn, verwegen",,,"audaz, atrevido",audace,,audaz
AŬDIENC/,aŭdienc/o,1OA,,,audience,"audience, interview",Audienz,audjencja,аудіенція,,,,
AŬDITORI/,aŭditori/o,2OA,,,"auditoire (local), amphithéâtre",auditorium,Auditorium,,,,,,
AŬGUR/,aŭgur/i,6OA,,aŭgur/i. Diveni per esotera povo.,augurer,to augur,weissagen,wróżyć,,"augurar, agorar",indovinare il futuro,,
AŬGUST/,Aŭgust/o,F +7OA,BRO5: Aŭgusto,,Août,August,August,Sierpień,Августъ,,,,
AŬKCI/,aŭkci/o,1OA,,,encan,auction,Auktion,licytacja,аукціонъ,,,,
AŬREOL/,aŭreol/o,6OA,,aŭreol/o 1-e: Luma rondo ĉirkaŭ la kapo de sanktulo ĉe pentraĵoj; 2-e: Prestiĝo.,auréole,aureola,Heiligenschein; (fig.) Ruhmesglanz,aureola,,"aureola; (fig.) gloria, prestigio",aureola,,
AŬSKULT/,aŭskult/i,F,BRO4: aŭskulti,,écouter,listen,"anhören, horchen",słuchać,слушать,,,,
AŬSTRALI/,Aŭstrali/o,8OA,BRO9: Aŭstralio,Aŭstrali/o. La kontinento de la suda hemisfero okcidente de Pacifiko.,Australie,Australia,Australien,,,Australia,Australia,,Austrália
AŬT/,aŭt/o,8OA,BRO8: aŭto,aŭt/o. Mallongigo de: aŭtomobilo.,auto,"car, automobile; (US) auto","Kraftwagen, Auto",,,auto,auto,,auto(móvel)
AŬTENTIK/,aŭtentik/a,1OA,,,authentique,authentic,"authentisch, echt",autentyczny,подлинный,,,,
AŬTOBIOGRAFI/,aŭtobiografi/,2OA,,,,,,,,,,,
AŬTOBUS/,aŭtobus/o,8OA,BRO7: aŭtobuso,"aŭtobus/o. Granda publika aŭtomobila veturilo, kiu transportas pasaĝerojn de stacio al aliaj laŭ difinitaj linioj.",autobus,"motor-bus, bus","Autobus, Bus",,,autobús,autobus,,auto-ônibus
AŬTOGRAF/,aŭtograf/o,2OA,,,,,,,,,,,
AŬTOKRAT/,aŭtokrat/o,2OA +7OA,,,,,,,,,,,
AŬTOKRATI/,aŭtokrati/o,3OA,,,autocratie,autocracy,Autokratie,autokracja,,autocracia,autocrazia,,autocracia
